ICAO,YEAR,N,MAX_CAP,BASE_THRESHOLD,PEAK_THRESHOLD,BLI_THR,PLI_THR,BLI_HRS,PLI_HRS,BLI,PLI,REG
SBBR,2019,8432,57,0.2,0.8,11.4,45.6,6059,41,0.7185721062618596,0.004862428842504744,BRA
SBBR,2020,7876,80,0.2,0.8,16,64,2067,0,0.26244286439817166,0,BRA
SBBR,2021,8251,80,0.2,0.8,16,64,2917,0,0.3535329051024118,0,BRA
SBBR,2022,8348,80,0.2,0.8,16,64,3717,0,0.44525634882606613,0,BRA
SBBR,2023,8445,80,0.2,0.8,16,64,4334,0,0.5132030787448194,0,BRA
SBBR,2024,8468,80,0.2,0.8,16,64,4607,0,0.5440481813887577,0,BRA
SBBR,2025,8499,80,0.2,0.8,16,64,4840,0,0.5694787622073185,0,BRA
SBCF,2019,8166,35,0.2,0.8,7,28,6482,4,0.7937790840068577,4.898359049718344e-4,BRA
SBCF,2020,6968,37,0.2,0.8,7.4,29.6,2547,0,0.36552812858783007,0,BRA
SBCF,2021,8117,37,0.2,0.8,7.4,29.6,4449,0,0.5481089072317359,0,BRA
SBCF,2022,8184,37,0.2,0.8,7.4,29.6,6101,0,0.7454789833822092,0,BRA
SBCF,2023,8190,37,0.2,0.8,7.4,29.6,6472,0,0.7902319902319902,0,BRA
SBCF,2024,8339,37,0.2,0.8,7.4,29.6,6817,2,0.8174841108046529,2.398369109005876e-4,BRA
SBCF,2025,8095,37,0.2,0.8,7.4,29.6,6717,2,0.8297714638665843,2.470660901791229e-4,BRA
SBCT,2019,8021,28,0.2,0.8,5.6000000000000005,22.400000000000002,5920,0,0.7380625857125047,0,BRA
SBCT,2020,6606,32,0.2,0.8,6.4,25.6,1558,0,0.2358462004238571,0,BRA
SBCT,2021,7485,32,0.2,0.8,6.4,25.6,1841,0,0.24595858383433533,0,BRA
SBCT,2022,7615,32,0.2,0.8,6.4,25.6,4485,0,0.5889691398555482,0,BRA
SBCT,2023,7594,32,0.2,0.8,6.4,25.6,4948,0,0.6515670265999474,0,BRA
SBCT,2024,7434,32,0.2,0.8,6.4,25.6,5157,0,0.6937046004842615,0,BRA
SBCT,2025,7650,32,0.2,0.8,6.4,25.6,5061,0,0.6615686274509804,0,BRA
SBEG,2025,8258,38,0.2,0.8,7.6000000000000005,30.400000000000002,2233,0,0.27040445628481474,0,BRA
SBGL,2019,8668,54,0.2,0.8,10.8,43.2,5049,0,0.5824873096446701,0,BRA
SBGL,2020,7432,60,0.2,0.8,12,48,1213,0,0.16321313240043056,0,BRA
SBGL,2021,8321,60,0.2,0.8,12,48,396,0,0.04759043384208629,0,BRA
SBGL,2022,8622,60,0.2,0.8,12,48,400,0,0.046392948271862675,0,BRA
SBGL,2023,8591,60,0.2,0.8,12,48,1087,0,0.12652776161098825,0,BRA
SBGL,2024,8682,60,0.2,0.8,12,48,5454,0,0.6281962681409814,0,BRA
SBGL,2025,8701,60,0.2,0.8,12,48,6472,0,0.7438225491322836,0,BRA
SBGR,2019,8759,57,0.2,0.8,11.4,45.6,8051,1467,0.919168854892111,0.16748487270236329,BRA
SBGR,2020,8664,58,0.2,0.8,11.600000000000001,46.400000000000006,4920,402,0.5678670360110804,0.046398891966759004,BRA
SBGR,2021,8747,60,0.2,0.8,12,48,6825,106,0.7802675202926718,0.012118440608208528,BRA
SBGR,2022,8754,60,0.2,0.8,12,48,7928,204,0.905643134567055,0.023303632625085675,BRA
SBGR,2023,8759,60,0.2,0.8,12,48,8155,353,0.9310423564333828,0.04030140426989382,BRA
SBGR,2024,8782,60,0.2,0.8,12,48,8129,841,0.9256433614210886,0.09576406285584149,BRA
SBGR,2025,8760,60,0.2,0.8,12,48,7923,1369,0.9044520547945205,0.1562785388127854,BRA
SBKP,2019,8112,35,0.2,0.8,7,28,6839,44,0.8430719921104537,0.005424063116370809,BRA
SBKP,2020,7793,40,0.2,0.8,8,32,4305,1,0.5524188374181959,1.2832028743744385e-4,BRA
SBKP,2021,8112,40,0.2,0.8,8,32,5882,4,0.7250986193293886,4.930966469428008e-4,BRA
SBKP,2022,7994,40,0.2,0.8,8,32,6550,53,0.8193645233925444,0.0066299724793595196,BRA
SBKP,2023,7934,40,0.2,0.8,8,32,6679,14,0.8418200151247794,0.0017645576002016637,BRA
SBKP,2024,8014,40,0.2,0.8,8,32,6764,6,0.8440229598203145,7.486897928624906e-4,BRA
SBKP,2025,8063,40,0.2,0.8,8,32,6800,20,0.8433585514076647,0.0024804663276696017,BRA
SBPA,2019,7678,30,0.2,0.8,6,24,6399,1,0.8334201615003908,1.3024225058609013e-4,BRA
SBPA,2020,6449,36,0.2,0.8,7.2,28.8,1929,0,0.2991161420375252,0,BRA
SBPA,2021,7455,36,0.2,0.8,7.2,28.8,2793,0,0.37464788732394366,0,BRA
SBPA,2022,7765,36,0.2,0.8,7.2,28.8,4703,0,0.6056664520283322,0,BRA
SBPA,2023,7836,36,0.2,0.8,7.2,28.8,5329,0,0.680066360387953,0,BRA
SBPA,2024,3884,36,0.2,0.8,7.2,28.8,2369,0,0.6099382080329557,0,BRA
SBPA,2025,8022,36,0.2,0.8,7.2,28.8,4717,0,0.5880079780603341,0,BRA
SBRF,2025,8730,38,0.2,0.8,7.6000000000000005,30.400000000000002,5713,0,0.6544100801832761,0,BRA
SBRJ,2019,6150,29,0.2,0.8,5.800000000000001,23.200000000000003,5687,554,0.9247154471544715,0.09008130081300814,BRA
SBRJ,2020,5941,29,0.2,0.8,5.800000000000001,23.200000000000003,3690,258,0.6211075576502272,0.043427032486113445,BRA
SBRJ,2021,6206,29,0.2,0.8,5.800000000000001,23.200000000000003,5672,55,0.9139542378343538,0.008862391234289398,BRA
SBRJ,2022,6223,29,0.2,0.8,5.800000000000001,23.200000000000003,6139,1052,0.9865016872890888,0.16905029728426804,BRA
SBRJ,2023,6222,29,0.2,0.8,5.800000000000001,23.200000000000003,6101,1897,0.9805528768884603,0.3048858887817422,BRA
SBRJ,2024,6209,29,0.2,0.8,5.800000000000001,23.200000000000003,5769,8,0.9291351264293767,0.0012884522467386053,BRA
SBRJ,2025,6169,29,0.2,0.8,5.800000000000001,23.200000000000003,5703,14,0.9244610147511753,0.0022694115739990274,BRA
SBSP,2019,6367,41,0.2,0.8,8.200000000000001,32.800000000000004,6090,4476,0.9564944243756871,0.7029998429401602,BRA
SBSP,2020,6442,42,0.2,0.8,8.4,33.6,3815,930,0.5922073890096243,0.1443651040049674,BRA
SBSP,2021,6560,44,0.2,0.8,8.8,35.2,5724,246,0.8725609756097561,0.0375,BRA
SBSP,2022,6403,44,0.2,0.8,8.8,35.2,6137,2367,0.9584569732937686,0.36967046696860845,BRA
SBSP,2023,6432,44,0.2,0.8,8.8,35.2,6145,4262,0.9553793532338308,0.6626243781094527,BRA
SBSP,2024,6505,44,0.2,0.8,8.8,35.2,6161,4423,0.9471176018447348,0.6799385088393544,BRA
SBSP,2025,6486,44,0.2,0.8,8.8,35.2,6149,3691,0.9480419364785693,0.5690718470551958,BRA
SBSV,2019,8713,32,0.2,0.8,6.4,25.6,5746,11,0.6594743486743946,0.0012624813497073338,BRA
SBSV,2020,7856,36,0.2,0.8,7.2,28.8,2715,4,0.3455957230142566,5.091649694501018e-4,BRA
SBSV,2021,8576,36,0.2,0.8,7.2,28.8,3789,22,0.4418143656716418,0.0025652985074626866,BRA
SBSV,2022,8604,36,0.2,0.8,7.2,28.8,4577,15,0.5319618781961878,0.0017433751743375174,BRA
SBSV,2023,8681,36,0.2,0.8,7.2,28.8,4480,8,0.5160695772376455,9.215528164957954e-4,BRA
SBSV,2024,8738,36,0.2,0.8,7.2,28.8,4904,3,0.5612268253604944,3.433279926756695e-4,BRA
SBSV,2025,8727,36,0.2,0.8,7.2,28.8,4782,6,0.547954623581987,6.875214850464077e-4,BRA
EDDF,2019,6901,106,0.2,0.8,21.200000000000003,84.80000000000001,6560,3024,0.9505868714679032,0.4381973627010578,EUR
EDDF,2020,6906,106,0.2,0.8,21.200000000000003,84.80000000000001,4086,183,0.5916594265855778,0.026498696785403997,EUR
EDDF,2021,6780,106,0.2,0.8,21.200000000000003,84.80000000000001,5326,14,0.7855457227138644,0.002064896755162242,EUR
EDDF,2022,6891,106,0.2,0.8,21.200000000000003,84.80000000000001,6388,176,0.9270062400232187,0.02554056015092149,EUR
EDDF,2023,6916,106,0.2,0.8,21.200000000000003,84.80000000000001,6468,782,0.9352226720647774,0.11307113938692887,EUR
EDDF,2024,6900,106,0.2,0.8,21.200000000000003,84.80000000000001,6497,927,0.9415942028985507,0.13434782608695653,EUR
EDDF,2025,6853,106,0.2,0.8,21.200000000000003,84.80000000000001,6522,1685,0.9516999854078506,0.24587771778783016,EUR
EDDM,2019,7531,90,0.2,0.8,18,72,6288,2485,0.834948877971053,0.32996945956712254,EUR
EDDM,2020,7381,90,0.2,0.8,18,72,3034,241,0.41105541254572553,0.03265140224901775,EUR
EDDM,2021,7558,90,0.2,0.8,18,72,3483,0,0.46083620005292403,0,EUR
EDDM,2022,7580,90,0.2,0.8,18,72,5992,52,0.7905013192612137,0.006860158311345646,EUR
EDDM,2023,7634,90,0.2,0.8,18,72,6066,70,0.7946030914330626,0.009169504846738277,EUR
EDDM,2024,7510,90,0.2,0.8,18,72,6264,148,0.8340878828229028,0.01970705725699068,EUR
EDDM,2025,7381,90,0.2,0.8,18,72,6152,460,0.8334913968296979,0.06232217856658989,EUR
EGKK,2019,8392,55,0.2,0.8,11,44,6791,3556,0.8092230695900858,0.42373689227836037,EUR
EGKK,2020,6167,55,0.2,0.8,11,44,2442,313,0.395978595751581,0.05075401329657856,EUR
EGKK,2021,6404,55,0.2,0.8,11,44,2261,0,0.35306058713304184,0,EUR
EGKK,2022,8266,55,0.2,0.8,11,44,6443,1289,0.7794580208081296,0.15593999516090007,EUR
EGKK,2023,7703,55,0.2,0.8,11,44,6296,2096,0.8173438919901337,0.2721017785278463,EUR
EGKK,2024,8460,55,0.2,0.8,11,44,6768,2678,0.8,0.316548463356974,EUR
EGKK,2025,8500,55,0.2,0.8,11,44,6774,2528,0.7969411764705883,0.2974117647058824,EUR
EGLL,2019,7364,88,0.2,0.8,17.6,70.4,6245,4877,0.8480445410103205,0.6622759369907659,EUR
EGLL,2020,7204,88,0.2,0.8,17.6,70.4,4218,862,0.5855080510827319,0.11965574680732927,EUR
EGLL,2021,7203,88,0.2,0.8,17.6,70.4,4914,9,0.6822157434402333,0.0012494793835901709,EUR
EGLL,2022,7232,88,0.2,0.8,17.6,70.4,6055,1370,0.8372511061946902,0.1894358407079646,EUR
EGLL,2023,7333,88,0.2,0.8,17.6,70.4,6285,4170,0.8570844129278603,0.5686622119187236,EUR
EGLL,2024,7361,88,0.2,0.8,17.6,70.4,6286,4830,0.8539600597744872,0.6561608477109089,EUR
EGLL,2025,7294,92,0.2,0.8,18.400000000000002,73.60000000000001,6226,4544,0.853578283520702,0.6229777899643543,EUR
EHAM,2018,1,NA,0.2,0.8,NA,NA,NA,NA,NA,NA,EUR
EHAM,2019,8633,112,0.2,0.8,22.400000000000002,89.60000000000001,6188,2385,0.7167844318313449,0.2762654928761728,EUR
EHAM,2020,8492,112,0.2,0.8,22.400000000000002,89.60000000000001,4043,244,0.4760951483749411,0.0287329251059821,EUR
EHAM,2021,8479,112,0.2,0.8,22.400000000000002,89.60000000000001,5031,62,0.5933482722019106,0.007312183040452884,EUR
EHAM,2022,8497,112,0.2,0.8,22.400000000000002,89.60000000000001,6034,350,0.7101329881134518,0.04119100859126751,EUR
EHAM,2023,8490,112,0.2,0.8,22.400000000000002,89.60000000000001,6048,1100,0.7123674911660778,0.12956419316843346,EUR
EHAM,2024,8420,112,0.2,0.8,22.400000000000002,89.60000000000001,6139,1810,0.7290973871733967,0.21496437054631828,EUR
EHAM,2025,8421,112,0.2,0.8,22.400000000000002,89.60000000000001,6132,1964,0.7281795511221946,0.2332264576653604,EUR
LEBL,2019,8551,78,0.2,0.8,15.600000000000001,62.400000000000006,6807,1002,0.7960472459361478,0.1171792772775114,EUR
LEBL,2020,8080,78,0.2,0.8,15.600000000000001,62.400000000000006,3086,34,0.38193069306930694,0.004207920792079208,EUR
LEBL,2021,8306,78,0.2,0.8,15.600000000000001,62.400000000000006,4265,0,0.5134842282687214,0,EUR
LEBL,2022,8477,78,0.2,0.8,15.600000000000001,62.400000000000006,6645,82,0.7838858086587236,0.009673233455231803,EUR
LEBL,2023,7825,78,0.2,0.8,15.600000000000001,62.400000000000006,6233,229,0.7965495207667732,0.02926517571884984,EUR
LEBL,2024,8578,78,0.2,0.8,15.600000000000001,62.400000000000006,6921,854,0.8068314292375846,0.0995570062951737,EUR
LEBL,2025,8603,85,0.2,0.8,17,68,6879,366,0.7996047890270835,0.04254329884923864,EUR
LEMD,2019,8711,100,0.2,0.8,20,80,6707,566,0.7699460452301687,0.06497531856273676,EUR
LEMD,2020,8566,100,0.2,0.8,20,80,3068,32,0.35816016810646745,0.0037356992762082653,EUR
LEMD,2021,8611,100,0.2,0.8,20,80,4843,0,0.5624201602601324,0,EUR
LEMD,2022,8675,100,0.2,0.8,20,80,6483,21,0.7473198847262248,0.002420749279538905,EUR
LEMD,2023,7946,100,0.2,0.8,20,80,6103,105,0.7680594009564561,0.01321419582179713,EUR
LEMD,2024,8746,100,0.2,0.8,20,80,6794,368,0.7768122570317859,0.04207637777269609,EUR
LEMD,2025,8719,100,0.2,0.8,20,80,6819,556,0.7820851015024659,0.06376878082348893,EUR
LFPG,2018,2,NA,0.2,0.8,NA,NA,NA,NA,NA,NA,EUR
LFPG,2019,8682,120,0.2,0.8,24,96,7154,649,0.8240036857866851,0.07475236120709514,EUR
LFPG,2020,8577,120,0.2,0.8,24,96,3833,19,0.446892852978897,0.0022152267692666433,EUR
LFPG,2021,8589,120,0.2,0.8,24,96,5041,0,0.5869134940039585,0,EUR
LFPG,2022,8558,120,0.2,0.8,24,96,6819,6,0.7967983173638701,7.010983874737088e-4,EUR
LFPG,2023,8572,120,0.2,0.8,24,96,7052,30,0.8226784881007932,0.0034997666822211854,EUR
LFPG,2024,8595,120,0.2,0.8,24,96,7094,85,0.8253635834787667,0.009889470622454915,EUR
LFPG,2025,8582,120,0.2,0.8,24,96,7136,186,0.8315078070379864,0.02167326963411792,EUR
LGAV,2025,8685,44,0.2,0.8,8.8,35.2,7157,4293,0.8240644789867588,0.49430051813471504,EUR
LPPT,2019,8179,40,0.2,0.8,8,32,7025,4255,0.8589069568406895,0.5202347475241472,EUR
LPPT,2020,7060,40,0.2,0.8,8,32,4220,625,0.5977337110481586,0.08852691218130311,EUR
LPPT,2021,7851,40,0.2,0.8,8,32,5292,475,0.6740542606037447,0.06050184689848427,EUR
LPPT,2022,8076,40,0.2,0.8,8,32,6846,3201,0.8476968796433878,0.3963595839524517,EUR
LPPT,2023,8112,40,0.2,0.8,8,32,6858,4763,0.8454142011834319,0.58715483234714,EUR
LPPT,2024,8115,40,0.2,0.8,8,32,6969,4863,0.8587800369685767,0.5992606284658041,EUR
LPPT,2025,8072,40,0.2,0.8,8,32,6898,5105,0.8545589692765114,0.6324331020812686,EUR
LSZH,2019,6633,66,0.2,0.8,13.200000000000001,52.800000000000004,6216,1322,0.9371325192220714,0.1993064978139605,EUR
LSZH,2020,6319,66,0.2,0.8,13.200000000000001,52.800000000000004,3354,99,0.530780186738408,0.0156670359234056,EUR
LSZH,2021,6451,66,0.2,0.8,13.200000000000001,52.800000000000004,4093,77,0.6344752751511393,0.011936133932723608,EUR
LSZH,2022,6606,66,0.2,0.8,13.200000000000001,52.800000000000004,5891,374,0.8917650620647896,0.0566151983045716,EUR
LSZH,2023,6609,66,0.2,0.8,13.200000000000001,52.800000000000004,6188,715,0.9362989862308972,0.10818580723256166,EUR
LSZH,2024,6632,66,0.2,0.8,13.200000000000001,52.800000000000004,6237,883,0.9404402895054282,0.13314234016887816,EUR
LSZH,2025,6604,66,0.2,0.8,13.200000000000001,52.800000000000004,6228,1070,0.9430648092065415,0.162023016353725,EUR
LTFM,2023,8016,NA,0.2,0.8,NA,NA,NA,NA,NA,NA,EUR
LTFM,2024,8781,NA,0.2,0.8,NA,NA,NA,NA,NA,NA,EUR
LTFM,2025,8757,120,0.2,0.8,24,96,8297,435,0.9474705949526093,0.049674546077423776,EUR
